CÓDIGO,DESCRIÇÃO,DT_INI,DT_FIM,TIPO,CONTA SUPERIOR,NÍVEL,NATUREZA,ORIENTAÇÕES,Voltar Indice
1.01.01.09.50,(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) -  Valores Mobiliários - No Exterior,01012015,,A,1.01.01.09,5,1,"Contas que registram os ajustes a valor presente efetuados sobre os ativos financeiros no exterior. Referidos valores serão apropriados ao resultado pelo regime de competência e excluídos do Lucro Real. Não devem ser controlados em subcontas, mas na Parte B do Lalur, sendo seu montante adicionado ao Lucro Real no mesmo período em a receita ou resultado da operação deva ser tributada (art.4º, Lei nº 12.973/2014), sem prejuízo observância aos arts.  9º a 12 da Instrução Normativa SRF nº 213/2002.",
1.01.01.09.55,(-) Perdas por Redução ao Valor Recuperável (Impairment)- Valores Mobiliários - No Exterior,01012015,,A,1.01.01.09,5,1,"Contas que registram as perdas incorridas com base em evidências objetivas passadas, mas posteriores ao reconhecimento inicial, impactantes no fluxo de caixa futuros estimados desses ativos financeiros. Os títulos para negociação não estão sujeitos a teste de “impairment”. Esta conta também registra as eventuais reversões, não se admitindo para títulos patrimoniais. Referidos valores deverão ser adicionados ao Lucro Real, mantidos na Parte B do Lalur até ocorrência da alienação ou baixa do ativo, quando poderão ser excluídos do Lucro Real (art. 32, Lei nº 12.973/2014),  sem prejuízo observância aos arts.  9º a 12 da Instrução Normativa SRF nº 213/2002.",
1.01.01.09.70,Subconta - Ajuste a Valor Justo - Não Hedge - No Exterior,01012015,,A,1.01.01.09,5,1,"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros no exterior, inclusive decorrentes apenas de sua mensuração inicial ou efetuados nos objetos de hedge de valor justo. Os títulos para negociação e disponíveis para venda devem seguir a mensuração pelo valor justo até sua baixa. Referidos valores  deverão ser computados na apuração  Lucro Real quando da alienação ou baixa do ativo(arts. 49/50,  Instrução Normativa SRF nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I,  exemplos 5/6), sem prejuízo observância aos arts.  9º a 12 da Instrução Normativa SRF nº 213/2002. Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 33, §3º, Instrução Normativa SRF nº 1.515/2014)",
1.01.01.09.90,Subconta – Adoção Inicial -  Valores Mobiliários – Não Hedge - No Exterior,01012015,,A,1.01.01.09,5,1,"Contas que registram as diferenças positivas ou negativas, na data da adoção dos efeitos da Lei nº 12.973/2014, entre o valor do ativo mensurado de acordo as disposições da Lei nº 6.404/1976 e o valor mensurado pelos métodos e critérios vigentes em 31/12/2007(arts. 66/67, Lei nº 12.973/2014). Referidos valores  deverão ser computados na apuração  Lucro Real à medida da realização do bem, (arts. 164 e 167,  Instrução Normativa SRF nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I,  exemplos 1/2), sem prejuízo observância aos arts.  9º a 12 da Instrução Normativa SRF nº 213/2002.  Conforme disciplinado art. 169, § 9ª, Instrução Normativa SRF nº 1.515/2014, cada subconta de adoção inicial deve registrar individualmente a diferença de valor identificada em cada ativo.  Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 169, §6º, Instrução Normativa SRF nº 1.515/2014)",
1.01.01.10,VALORES MOBILIÁRIOS - HEDGE - NO EXTERIOR,01012015,,S,1.01.01,4,1,,
1.01.01.10.01,Derivativos - Hedge Valor Justo - No Exterior,01012015,,A,1.01.01.10,5,1,Contas que registram os instrumentos destinados a hedge de valor justo operados em ambiente negocial no exterior. Toda documentação exigida para operar em “Hedge Accounting” deve constar em Nota Explicativa encaminhada pela ECD.,
1.01.01.10.02,Derivativos - Hedge Fluxo de Caixa - No Exterior,01012015,,A,1.01.01.10,5,1,Contas que registram os instrumentos destinados a hedge de fluxo de caixa operados em ambiente negocial no exterior. Toda documentação exigida para operar em “Hedge Accounting” deve constar em Nota Explicativa encaminhada pela ECD.,
1.01.01.10.03,Derivativos - Hedge Investimento no Exterior - No Exterior,01012015,,A,1.01.01.10,5,1,Contas que registram os instrumentos destinados a hedge de fluxo de investimento no exterior operados em ambiente negocial no exterior. Toda documentação exigida para operar em “Hedge Accounting” deve constar em Nota Explicativa encaminhada pela ECD,
1.01.01.10.70,Subconta - Ajuste a Valor Justo - Valores Mobiliários – Hedge - No Exterior,01012015,,A,1.01.01.10,5,1,"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros no exterior, destinados a Hedge, inclusive decorrentes apenas de sua mensuração inicial. Referidos valores  deverão ser computados na apuração  Lucro Real quando da alienação ou baixa do ativo(arts. 49/53,  Instrução Normativa SRF nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I,  exemplos 5/6) sem prejuízo observância aos arts.  9º a 12 da Instrução Normativa SRF nº 213/2002. Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 33, §3º, Instrução Normativa SRF nº 1.515/2014). Excepcionalmente, as subcontas de adoção inicial deste grupo também devem receber esta classificação no plano referencial.",
1.01.01.10.90,Subconta – Adoção Inicial -  Valores Mobiliários – Hedge - No Exterior,01012015,,A,1.01.01.10,5,1,"Contas que registram as diferenças positivas ou negativas, na data da adoção dos efeitos da Lei nº 12.973/2014, entre o valor do ativo mensurado de acordo as disposições da Lei nº 6.404/1976 e o valor mensurado pelos métodos e critérios vigentes em 31/12/2007(arts. 66/67, Lei nº 12.973/2014). Conforme disciplinado art. 169, § 9ª, Instrução Normativa SRF nº 1.515/2014, cada subconta de adoção inicial deve registrar individualmente a diferença de valor identificada em cada ativo.  Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 169, §6º, Instrução Normativa SRF nº 1.515/2014)",
1.01.01.40,RECURSOS NO EXTERIOR DECORRENTES DE EXPORTAÇÃO,01012015,,S,1.01.01,4,1,,
1.01.01.40.01,Recursos no Exterior Decorrentes de Exportação,01012015,,A,1.01.01.40,5,1,Contas que registram movimentação de recursos em instituições financeiras no exterior oriundas de recebimentos de exportações brasileiras de mercadorias e de serviços.,
1.01.01.99,OUTRAS DISPONIBILIDADES,01012015,,S,1.01.01,4,1,,
1.01.01.99.01,Outras Disponibilidades,01012015,,A,1.01.01.99,5,1,Contas que registram outras disponibilidades não classificáveis em contas específicas deste plano de contas.,
1.01.02,CRÉDITOS,01012015,,S,1.01,3,1,,
1.01.02.01,ADIANTAMENTOS,01012015,,S,1.01.02,4,1,,
1.01.02.01.01,Adiantamentos a Fornecedores - no País – Circulante,01012015,,A,1.01.02.01,5,1,"Contas que registram os adiantamentos feitos a fornecedores, no país.",
1.01.02.01.02,Adiantamentos a Fornecedores - no Exterior – Circulante,01012015,,A,1.01.02.01,5,1,"Contas que registram os adiantamentos feitos a fornecedores,  no exterior.",
1.01.02.01.03,Adiantamentos a Funcionários – Circulante,01012015,,A,1.01.02.01,5,1,Contas que registram os adiantamentos feitos a funcionários.,
1.01.02.01.04,Adiantamentos a Terceiros – Circulante,01012015,,A,1.01.02.01,5,1,Contas que registram os adiantamentos feitos a terceiros.,
1.01.02.01.98,Outros Adiantamentos – Circulante,01012015,,A,1.01.02.01,5,1,Contas que registram os adiantamentos não classificáveis em contas específicas neste plano de contas.,
1.01.02.02,DUPLICATAS A RECEBER,01012015,,S,1.01.02,4,1,,
1.01.02.02.01,Duplicatas a Receber – Operações com Partes Não Relacionadas - no País,01012015,,A,1.01.02.02,5,1,"Contas que registram os valores a receber de clientes no país, não relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intenção de venda os títulos. Os recebíveis que foram negociados em processos de securitização, ou assemelhando, devem ser registrados na conta Direitos Creditórios Cedidos(1.01.02.09.20), enquanto não baixados. Já a securitizadora  deve registrar os recebíveis em Direitos Creditórios a Receber(1.01.02.09.25)",
1.01.02.02.02,Duplicatas a Receber - Operações com Partes Não Relacionadas - no Exterior,01012015,,A,1.01.02.02,5,1,"Contas que registram os valores a receber de clientes no exterior, não relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intenção de venda os títulos.  Os recebíveis que foram negociados em processos de securitização, ou assemelhando, devem ser registrados na conta Direitos Creditórios Cedidos(1.01.02.09.20), enquanto não baixados. Já a securitizadora deve registrar os recebíveis em Direitos Creditórios a Receber(1.01.02.09.25)",
1.01.02.02.03,Duplicatas a Receber - Operações com Partes Relacionadas - no País,01012015,,A,1.01.02.02,5,1,"Contas que registram os valores a receber de clientes no país, relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intenção de venda os títulos. Os recebíveis que foram negociados em processos de securitização, ou assemelhando, devem ser registrados na conta Direitos Creditórios Cedidos(1.01.02.09.20), enquanto não baixados. Já a securitizadora deve registrar os recebíveis em Direitos Creditórios a Receber(1.01.02.09.25)",
1.01.02.02.04,Duplicatas a Receber - Operações com Partes Relacionadas - no Exterior,01012015,,A,1.01.02.02,5,1,"Contas que registram os valores a receber de clientes no exterior, relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intenção de venda os títulos.  Os recebíveis que foram negociados em processos de securitização, ou assemelhando, devem ser registrados na conta Direitos Creditórios Cedidos(1.01.02.09.20), enquanto não baixados. Já a securitizadora deve registrar os recebíveis em Direitos Creditórios a Receber(1.01.02.09.25)",
1.01.02.02.50,(-) Juros a Apropriar Decorrentes de Ajuste da Valor Presente (AVP) – Duplicatas a Receber ,01012015,,A,1.01.02.02,5,1,"Contas que registram os ajustes a valor presente efetuados sobre os ativos financeiros representativos das operações de venda à prazo, sua contrapartida não deve ser excluída da Receita Bruta do período, mas compor uma dedução, art. 12, Decreto-Lei nº 1.598/1977(conta referencial 3.01.01.01.02.10). Referidos valores serão apropriados ao resultado pelo regime de competência e excluídos do Lucro Real. Não devem ser controlados em subcontas, mas na Parte B do e-Lalur, sendo seu montante adicionado ao Lucro Real no mesmo período em a receita ou resultado da operação deva ser tributada (art.4º, Lei nº 12.973/2014). ",
1.01.02.02.52,(-) Perdas Estimadas em Créditos de Liquidação Duvidosa - Duplicatas a Receber ,01012015,,A,1.01.02.02,5,1,"Contas que registram parcelas a serem subtraídas, correspondentes a valores das perdas estimadas para os créditos de liquidação duvidosa, que retificam este grupo.",
1.01.02.02.55,(-) Perdas por Redução ao Valor Recuperável (Impairment) - Duplicatas a Receber ,01012015,,A,1.01.02.02,5,1," Contas que registram as perdas incorridas com base em evidências objetivas passadas, mas posteriores ao reconhecimento inicial, impactantes no fluxo de caixa futuros estimados desses ativos financeiros. O registro e dedutibilidade no Lucro Real deve observar os regramentos dispostos nos arts. 24/25, Instrução Normativa SRF nº 1.515/2014",
1.01.02.02.90,Subconta – Adoção Inicial -  Duplicatas a Receber,01012015,,A,1.01.02.02,5,1,"Contas que registram as diferenças positivas ou negativas, na data da adoção dos efeitos da Lei nº 12.973/2014, entre o valor do ativo mensurado de acordo as disposições da Lei nº 6.404/1976 e o valor mensurado pelos métodos e critérios vigentes em 31/12/2007(arts. 66/67, Lei nº 12.973/2014). Conforme disciplinado art. 169, § 9ª, Instrução Normativa SRF nº 1.515/2014, cada subconta de adoção inicial deve registrar individualmente a diferença de valor identificada em cada ativo.  Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 169, §6º, Instrução Normativa SRF nº 1.515/2014)",
1.01.02.03,TRIBUTOS A RECUPERAR,01012015,,S,1.01.02,4,1,,
1.01.02.03.01,IPI a Recuperar,01012015,,A,1.01.02.03,5,1,Contas que registram o IPI a recuperar. ,
1.01.02.03.02,ICMS a Recuperar,01012015,,A,1.01.02.03,5,1,Contas que registram o ICMS a recuperar. ,
1.01.02.03.03,PIS a Recuperar - Crédito Básico,01012015,,A,1.01.02.03,5,1,Contas que registram o PIS a recuperar. ,
1.01.02.03.04,PIS a Recuperar - Crédito Presumido,01012015,,A,1.01.02.03,5,1,"Contas que registram o PIS a recuperar, decorrente de crédito presumido.",
1.01.02.03.05,COFINS a Recuperar - Crédito Básico,01012015,,A,1.01.02.03,5,1,Contas que registram a COFINS a recuperar.,
1.01.02.03.06,COFINS a Recuperar - Crédito Presumido,01012015,,A,1.01.02.03,5,1,"Contas que registram a COFINS a recuperar, decorrente de crédito presumido.",
1.01.02.03.07,CIDE a Recuperar,01012015,,A,1.01.02.03,5,1,Contas que registram a CIDE a recuperar.,
1.01.02.03.40,Outros Impostos e Contribuições a Recuperar,01012015,,A,1.01.02.03,5,1,Contas que registrem  outros impostos e contribuições a recuperar no final do período de apuração. Valores referentes ao ISSQN devem receber esta classificação.,
1.01.02.03.50,(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) -  Tributos a Recuperar,01012015,,A,1.01.02.03,5,1,"Contas que registram os ajustes a valor presente efetuados sobre os tributos a recuperar. Referidos valores serão apropriados ao resultado pelo regime de competência e excluídos do Lucro Real. Não devem ser controlados em subcontas, mas na Parte B do Lalur, sendo seu montante adicionado ao Lucro Real no mesmo período em a receita ou resultado da operação deva ser tributada (art.4º, Lei nº 12.973/2014).",
1.01.02.03.55,(-) Perdas por Redução ao Valor Recuperável (Impairment) -  Tributos a Recuperar,01012015,,A,1.01.02.03,5,1,"Contas que registram as perdas estimadas com base em evidências objetivas impactantes no fluxo de caixa futuros estimados desses tributos a recuperar. Esta conta também registra as eventuais reversões. Referidos valores deverão ser adicionados ao Lucro Real, mantidos na Parte B do Lalur até ocorrência da alienação ou baixa do ativo, quando poderão ser excluídos do Lucro Real (art. 32, Lei nº 12.973/2014).",
1.01.02.04,TRIBUTOS A COMPENSAR,01012015,,S,1.01.02,4,1,,
1.01.02.04.01,Imposto de Renda Retido na Fonte (IRRF),01012015,,A,1.01.02.04,5,1,Contas correspondentes ao Imposto de Renda Retido na Fonte sobre receitas da Pessoa Jurídica declarante.,
1.01.02.04.02,IRPJ Recolhido por Estimativa,01012015,,A,1.01.02.04,5,1,Contas que registrem o valor do IRPJ recolhido por estimativa.,
1.01.02.04.03,IRPJ Saldo Negativo,01012015,,A,1.01.02.04,5,1,Contas que registram o saldo negativo do IRPJ. ,
